Brand#,DNVB?,List,Rank,Company,Category,addressCountry (LI),Founded (LI),Web 60 Social 40,Website,Tags,Description,Ecommerce Platform,Logo,LinkedIn,Region,Headquarters (LI),Type (LI),Specialties (LI),Company_size (LI),Facebook,FB Followers,FB Likes,Instagram,Pinterest,Youtube,TikTok,Twitter,Traffic Adjusted,FB AVG,IG Followers,YT Followers,PI Followers,TT Followers,TW Followers,"Aggr Social (0.25 FB, 0.25 IG, 0.15 YT, 0.05 PI, 0.2 TT, 0.1 TW)",2020-2022 Growth
1974,Y,Country - Mexico,1,Yuya,Beauty & Cosmetics,,,"1,500,179,702",https://yuyatiendaoficial.com/,Make Up,,,,,#REF!,,,,,https://www.facebook.com/BailandoJuntosYuya/,"153,828","145,257",https://www.instagram.com/bailandojuntos/,https://pinterest.com/BailandoJuntosMx/_created/,https://www.youtube.com/watch?v=_gKuYgfEkvw&feature=emb_imp_woyt,,https://twitter.com/yuyacst?lang=en,"59,477","149,543","1,290,618","25,000,000,000",12,,,3750360041,-1.70%
1583,Y,2:00 PM,2,Shein,Fashion & Apparel,SG,2012,"43,025,803",us.shein.com,,,Custom,,https://www.linkedin.com/company/shein/,#REF!,"Singapore, Singapore",Privately Held,"Internet, Cross-border E-commerce, and Fast fashion","10,001+ employees",https://www.facebook.com/SHEINUS/,"446,314","442,217",https://www.instagram.com/shein_us/,https://pinterest.com/SHEINofficial/_created/,https://www.youtube.com/watch?v=G0eSPQcaNi4,https://www.tiktok.com/@shein_official,,"70,825,040","444,266","1,435,112","127,000","3,961,030","3,200,000",11,1326946.975,-11.71%
351,Y,2:00 PM,3,Chewy,Pet Care,US,2011,"17,026,566",chewy.com,,,Custom,,https://www.linkedin.com/company/chewy-com/,#REF!,"Dania Beach, FL",Public Company,"Fast, Free 1 -2 Day Shipping, Pet Health, 2,000+ Brands, Ecommerce, and 24/7 Customer Service","10,001+ employees",https://www.facebook.com/Chewy/,"1,703,746","1,659,302",https://www.instagram.com/lifeatchewy/,https://www.pinterest.com/chewy/_shop/,https://www.youtube.com/channel/UCpWl2nwLDQQI4TTa1kJgxrg,https://www.tiktok.com/@chewy?,https://twitter.com/chewy,"28,082,250","1,681,524","19,296","47,500","10,489","47,800","6,249",443039.35,-3.05%
600,,master,4,Fashion Nova,Fashion & Apparel,US,2006,"10,333,605",fashionnova.com,,,,https://media-exp1.licdn.com/dms/image/C4D0BAQGSzX5WjJZZOw/company-logo_400_400/0/1519952266668?e=1634169600&v=beta&t=zJ_z3kVI90pM83BYCuv35tFRQMdCjZB6XN9DnltFgkA,https://www.linkedin.com/company/fashion-nova/,#REF!,"Vernon, CA",Privately Held,not_avil,501-1000 employees,https://www.facebook.com/Fashionnova,"2,935,363","2,732,050",https://www.instagram.com/fashionnova/,https://www.pinterest.com/fashionnova/,https://www.youtube.com/fashionnova,https://www.tiktok.com/@fashionnovamen,https://twitter.com/FashionNova?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor,"13,219,200","2,833,707","20,789,442","35,200","682,577","300,000",154,6005211.375,-6.49%
1629,,master,5,Sole Society,Fashion & Apparel,not_avil,not_avil,"9,367,305",http://www.solesociety.com,,,,https://media-exp1.licdn.com/dms/image/C560BAQEepx11SCqXNQ/company-logo_400_400/0/1519899785739?e=1634169600&v=beta&t=P2BRikiiMbb49YfZy_dMGMxAnuGlOJb15cZ7qwA0n6s,https://tr.linkedin.com/company/sole-society,#REF!,not_avil,not_avil,not_avil,not_avil,https://www.facebook.com/solesociety,"860,290","878,892",https://www.instagram.com/solesociety/,https://www.pinterest.com/DSW/,https://www.youtube.com/watch?v=OVFh4ZALth8,https://www.tiktok.com/@dsw?,https://twitter.com/solesocietyvip,"15,412,680","869,591","282,578",233,"166,400","12,100","4,263",299243.5,-5.62%
252,,master,6,Boohoo,Fashion & Apparel,GB,not_avil,"8,318,226",boohoo.com,,,,https://media-exp1.licdn.com/dms/image/C4E0BAQFJ4dYeojvXog/company-logo_400_400/0/1519886939657?e=1634169600&v=beta&t=x0D0NOZPxBpPUhK3tQYla9DYBYtaaPQW0clqOhATyKA,https://www.linkedin.com/company/boohoo-group-plc/,#REF!,Manchester,Public Company,"Fashion, Apparel, eCommerce, and IT","5001-10,000 employees",https://www.facebook.com/boohoo.com,"3,870,659","3,847,513",https://www.instagram.com/boohoo/,https://www.pinterest.com/boohooofficial/,http://www.youtube.com/boohooclothing,https://www.tiktok.com/@boohoo?lang=en,https://www.twitter.com/boohoo,"11,298,250","3,859,086","10,739,418","11,300","177,675","939,800",262,3848190.95,-7.83%
1014,,master,7,Kylie Cosmetics,Beauty & Cosmetics,not_avil,not_avil,"6,276,443",kyliecosmetics.com,,,,https://scontent.fcxh3-1.fna.fbcdn.net/v/t1.6435-9/182463333_2004982886318937_6123409176929988569_n.jpg?_nc_cat=1&ccb=1-5&_nc_sid=09cbfe&_nc_ohc=1Dyj5UvBBhMAX_IYDTg&_nc_ht=scontent.fcxh3-1.fna&oh=09e65508bc086f2fb5b421e900e88205&oe=61411F70,https://www.linkedin.com/company/kyliecosmetics/,#REF!,not_avil,not_avil,not_avil,not_avil,https://www.facebook.com/KylieCosmetics,"4,148,913","4,034,473",https://www.instagram.com/kyliecosmetics/,https://www.pinterest.com/kyliecosmetics/,https://www.youtube.com/c/KylieCosmetics,https://www.tiktok.com/@kyliejenner?lang=en,https://twitter.com/kyliecosmetics,"399,822","4,091,693","25,467,500","862,000","120,709","37,800,000","62,400",15091373.7,-6.48%
1802,,master,8,Torrid,Fashion & Apparel,US,2001,"4,207,315",torrid.com,,,,https://media-exp1.licdn.com/dms/image/C560BAQFdG7egGbnWBQ/company-logo_400_400/0/1625160556334?e=1635379200&v=beta&t=qQSGMJUyqwnD6drvDTFEX8I7NZzqSVtDGAHuMKAhjcw,https://www.linkedin.com/company/torrid/,#REF!,"City of Industry, CA",Privately Held,"Retail, fashion, apparel, intimates, plus size, and e-commerce","5001-10,000 employees",https://www.facebook.com/Torrid,"1,618,708","1,631,487",https://www.instagram.com/torrid/,https://www.pinterest.com/torridfashion/,https://www.youtube.com/user/TorridFashion,https://www.tiktok.com/@torrid??promo_id=211115_Homepage&promo_name=TorridTiktok_NoCTA&promo_creative=211102_hp_icon_tictok&promo_position=Homepage_Social,https://twitter.com/torrid?lang=en,"6,570,920","1,625,098","953,153","15,600","154,878","36,300",,661906.525,-6.62%
909,,master,9,ipsy,Beauty & Cosmetics,US,2011,"3,948,755",http://www.ipsy.com,,,,https://media-exp1.licdn.com/dms/image/C560BAQF_j-bD1tapeQ/company-logo_400_400/0/1566328953288?e=1634169600&v=beta&t=ySsgwIbqMFdyMzWHagimDM5FS9wPJc6K-F3pZVX7YYQ,http://www.linkedin.com/company/ipsy,#REF!,"San Mateo, California",Privately Held,"beauty, YouTube, makeup, community, cosmetics, and inspiration commerce",201-500 employees,https://www.facebook.com/IPSY,"5,775,243","5,724,553",https://www.instagram.com/ipsy/,https://www.pinterest.com/ipsy/,http://www.youtube.com/ipsy,https://www.tiktok.com/@ipsy?,http://www.twitter.com/ipsy,"4,619,850","5,749,898","3,222,362","1,320,000","1,606,365","2,100,000","7,288",2942112.05,-14.82%
380,,new,10,Colour Pop,Beauty & Cosmetics,US,2014,"3,550,868",https://colourpop.com/,,,,,https://www.linkedin.com/company/colourpopcosmetics/,#REF!,"Oxnard, CA",Privately Held,Disruption,1001-5000 employees,https://www.facebook.com/ColourPopCosmetics,"2,328,097","2,211,744",http://instagram.com/colourpopcosmetics,https://pinterest.com/ColourPopCo/_created/,https://www.youtube.com/user/colourpopcosmetics,https://www.tiktok.com/@colourpopco,http://twitter.com/home?status=https://colourpop.com/products/gradual-tanning-face-moisturizer via @ColourPopCo,"3,712,560","2,269,921","10,041,655","200,000","184,161","956,000",279,3308329.825,-26.53%
